source,target,relation,weight,mentions,evidence,seed_edge,feature_importance,rank,source_feature,cohort,age_band,density_bin
ABCB1,cassette,metabolizes,0.2,2,,False,,,,,,
ABCB1,triphosphate,metabolizes,0.1,1,,False,,,,,,
ABCB1,SIMVASTATIN,feature_importance_drug_gene,0.0576840694301267,,Top consensus drug feature rank 8; combined importance 0.0577,True,0.0576840694301267,8,item_drug_SIMVASTATIN,ed,65-74,all
ABCB1,CYP3A4,co_metabolizes,1.0,,,False,,,,,,
ABCB1,HMGCR,co_metabolizes,1.0,,,False,,,,,,
ABCB1,SLCO1B1,co_metabolizes,1.0,,,False,,,,,,
ABCB1,CETP,co_metabolizes,1.0,,,False,,,,,,
ABCB1,LPA,co_metabolizes,1.0,,,False,,,,,,
ABCB1,CYP3A5,co_metabolizes,1.0,,,False,,,,,,
ADD1,FUROSEMIDE,feature_importance_drug_gene,0.1152159212045888,,Top consensus drug feature rank 6; combined importance 0.1152,True,0.1152159212045888,6,item_drug_FUROSEMIDE,ed,65-74,all
ADRA2C,CARVEDILOL,feature_importance_drug_gene,0.3941002857391777,,Top consensus drug feature rank 1; combined importance 0.3941,True,0.3941002857391777,1,item_drug_CARVEDILOL,ed,65-74,all
ADRA2C,ATENOLOL,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 24; combined importance 0.0009,True,0.0008534541696594,24,item_drug_ATENOLOL,ed,65-74,all
ADRA2C,GRK5,co_metabolizes,2.0,,,False,,,,,,
ADRA2C,CYP2D6,co_metabolizes,1.0,,,False,,,,,,
ADRA2C,ADRB2,co_metabolizes,1.0,,,False,,,,,,
ADRA2C,GRK4,co_metabolizes,2.0,,,False,,,,,,
ADRA2C,ADRB1,co_metabolizes,2.0,,,False,,,,,,
ADRB1,CARVEDILOL,feature_importance_drug_gene,0.3941002857391777,,Top consensus drug feature rank 1; combined importance 0.3941,True,0.3941002857391777,1,item_drug_CARVEDILOL,ed,65-74,all
ADRB1,ATENOLOL,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 24; combined importance 0.0009,True,0.0008534541696594,24,item_drug_ATENOLOL,ed,65-74,all
ADRB1,GRK5,co_metabolizes,2.0,,,False,,,,,,
ADRB1,CYP2D6,co_metabolizes,1.0,,,False,,,,,,
ADRB1,ADRB2,co_metabolizes,1.0,,,False,,,,,,
ADRB1,GRK4,co_metabolizes,2.0,,,False,,,,,,
ADRB2,receptor,metabolizes,0.2,2,,False,,,,,,
ADRB2,CARVEDILOL,feature_importance_drug_gene,0.3941002857391777,,Top consensus drug feature rank 1; combined importance 0.3941,True,0.3941002857391777,1,item_drug_CARVEDILOL,ed,65-74,all
ADRB2,GRK5,co_metabolizes,1.0,,,False,,,,,,
ADRB2,CYP2D6,co_metabolizes,1.0,,,False,,,,,,
ADRB2,GRK4,co_metabolizes,1.0,,,False,,,,,,
CES1,CLOPIDOGREL,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 21; combined importance 0.0078,True,0.0077854785147482,21,item_drug_CLOPIDOGREL,ed,65-74,all
