id,type,label,degree,seed_drug,seed_gene,feature_importance,rank,source_feature,cohort,age_band,density_bin,tier,cpic_gene,amp,url
ABCB1,gene,ATP binding cassette subfamily B member 1,9,False,True,,,,,,,Tier 1,False,False,https://www.clinpgx.org/vip/PA166170352/overview
triphosphate,drug,triphosphate,1,False,False,,,,,,,,,,
cassette,drug,cassette,1,False,False,,,,,,,,,,
ADRA2C,gene,adrenoceptor alpha 2C,7,False,True,,,,,,,Undefined,False,False,
ADRB1,gene,adrenoceptor beta 1,7,False,True,,,,,,,Tier 1,False,False,https://www.clinpgx.org/vip/PA166170369/overview
ADRB2,gene,adrenoceptor beta 2,7,False,True,,,,,,,Tier 1,False,False,https://www.clinpgx.org/vip/PA166165410/overview
receptor,drug,receptor,1,False,False,,,,,,,,,,
CETP,gene,cholesteryl ester transfer protein,7,False,True,,,,,,,Undefined,False,False,
CYP2C19,gene,cytochrome P450 family 2 subfamily C member 19,6,False,True,,,,,,,Tier 1,True,True,https://www.clinpgx.org/vip/PA166169770/overview
voriconazole,drug,voriconazole,1,False,False,,,,,,,,,,
assignments,drug,assignments,4,False,False,,,,,,,,,,
CYP2D6,gene,cytochrome P450 family 2 subfamily D member 6,10,False,True,,,,,,,Tier 1,True,True,https://www.clinpgx.org/vip/PA166170264/overview
CYP3A4,gene,cytochrome P450 family 3 subfamily A member 4,10,False,True,,,,,,,Tier 1,False,True,https://www.clinpgx.org/vip/PA166169915/overview
inducers,drug,inducers,1,False,False,,,,,,,,,,
quetiapine,drug,quetiapine,1,False,False,,,,,,,,,,
inhibitors,drug,inhibitors,1,False,False,,,,,,,,,,
CYP3A5,gene,cytochrome P450 family 3 subfamily A member 5,11,False,True,,,,,,,Tier 1,True,True,https://www.clinpgx.org/vip/PA166170041/overview
tacrolimus,drug,tacrolimus,1,False,False,,,,,,,,,,
GRK4,gene,G protein-coupled receptor kinase 4,7,False,True,,,,,,,Undefined,False,False,
GRK5,gene,G protein-coupled receptor kinase 5,7,False,True,,,,,,,Undefined,False,False,
HMGCR,gene,3-hydroxy-3-methylglutaryl-CoA reductase,8,False,True,,,,,,,Tier 2,False,False,https://www.clinpgx.org/vip/PA166169439/overview
enzyme,drug,enzyme,1,False,False,,,,,,,,,,
LPA,gene,lipoprotein(a),8,False,True,,,,,,,Undefined,False,False,
lipoprotein,drug,lipoprotein,1,False,False,,,,,,,,,,
NEDD4L,gene,NEDD4 like E3 ubiquitin protein ligase,3,False,True,,,,,,,Undefined,False,False,
PRKCA,gene,protein kinase C alpha,3,False,True,,,,,,,Undefined,False,False,
PTGFR,gene,prostaglandin F receptor,1,False,True,,,,,,,Undefined,False,False,
SLCO1B1,gene,solute carrier organic anion transporter family member 1B1,11,False,True,,,,,,,Tier 1,True,False,https://www.clinpgx.org/vip/PA166169500/overview
rosuvastatin,drug,rosuvastatin,1,False,False,,,,,,,,,,
YEATS4,gene,YEATS domain containing 4,3,False,True,,,,,,,Undefined,False,False,
HYDROCHLOROTHIAZIDE,drug,HYDROCHLOROTHIAZIDE,3,True,False,0.1094721622284044,3,item_drug_HYDROCHLOROTHIAZIDE,ed,75-84,all,,,,
CARVEDILOL,drug,CARVEDILOL,6,True,False,0.07040110649759,5,item_drug_CARVEDILOL,ed,75-84,all,,,,
SIMVASTATIN,drug,SIMVASTATIN,7,True,False,0.0628544048775277,7,item_drug_SIMVASTATIN,ed,75-84,all,,,,
OMEPRAZOLE,drug,OMEPRAZOLE,1,True,False,0.0439853916043712,9,item_drug_OMEPRAZOLE,ed,75-84,all,,,,
LATANOPROST,drug,LATANOPROST,1,True,False,0.0105274325215499,11,item_drug_LATANOPROST,ed,75-84,all,,,,
ATENOLOL,drug,ATENOLOL,4,True,False,0.0049709752911674,12,item_drug_ATENOLOL,ed,75-84,all,,,,
