id,type,label,degree,seed_drug,seed_gene,feature_importance,rank,source_feature,cohort,age_band,density_bin,tier,cpic_gene,amp,url
ABCB1,gene,ATP binding cassette subfamily B member 1,9,False,True,,,,,,,Tier 1,False,False,https://www.clinpgx.org/vip/PA166170352/overview
triphosphate,drug,triphosphate,1,False,False,,,,,,,,,,
cassette,drug,cassette,1,False,False,,,,,,,,,,
ADD1,gene,adducin 1,1,False,True,,,,,,,Undefined,False,False,
CETP,gene,cholesteryl ester transfer protein,7,False,True,,,,,,,Undefined,False,False,
CYP3A4,gene,cytochrome P450 family 3 subfamily A member 4,10,False,True,,,,,,,Tier 1,False,True,https://www.clinpgx.org/vip/PA166169915/overview
inducers,drug,inducers,1,False,False,,,,,,,,,,
inhibitors,drug,inhibitors,1,False,False,,,,,,,,,,
quetiapine,drug,quetiapine,1,False,False,,,,,,,,,,
CYP3A5,gene,cytochrome P450 family 3 subfamily A member 5,9,False,True,,,,,,,Tier 1,True,True,https://www.clinpgx.org/vip/PA166170041/overview
assignments,drug,assignments,2,False,False,,,,,,,,,,
tacrolimus,drug,tacrolimus,1,False,False,,,,,,,,,,
HMGCR,gene,3-hydroxy-3-methylglutaryl-CoA reductase,8,False,True,,,,,,,Tier 2,False,False,https://www.clinpgx.org/vip/PA166169439/overview
enzyme,drug,enzyme,1,False,False,,,,,,,,,,
LPA,gene,lipoprotein(a),8,False,True,,,,,,,Undefined,False,False,
lipoprotein,drug,lipoprotein,1,False,False,,,,,,,,,,
NEDD4L,gene,NEDD4 like E3 ubiquitin protein ligase,3,False,True,,,,,,,Undefined,False,False,
PRKCA,gene,protein kinase C alpha,3,False,True,,,,,,,Undefined,False,False,
SLCO1B1,gene,solute carrier organic anion transporter family member 1B1,9,False,True,,,,,,,Tier 1,True,False,https://www.clinpgx.org/vip/PA166169500/overview
rosuvastatin,drug,rosuvastatin,1,False,False,,,,,,,,,,
YEATS4,gene,YEATS domain containing 4,3,False,True,,,,,,,Undefined,False,False,
FUROSEMIDE,drug,FUROSEMIDE,1,True,False,0.0791326075838837,3,item_drug_FUROSEMIDE,falls,75-84,all,,,,
SIMVASTATIN,drug,SIMVASTATIN,7,True,False,0.0473723713856008,5,item_drug_SIMVASTATIN,falls,75-84,all,,,,
HYDROCHLOROTHIAZIDE,drug,HYDROCHLOROTHIAZIDE,3,True,False,0.0416143285241111,6,item_drug_HYDROCHLOROTHIAZIDE,falls,75-84,all,,,,
