cohort,age_band,bin,rank,feature,drug_name,combined_importance,source
ed,65-74,all,1,item_drug_CARVEDILOL,CARVEDILOL,0.3941002857391777,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,2,item_drug_LISINOPRIL,LISINOPRIL,0.2125841700938066,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,3,item_drug_LEVOFLOXACIN,LEVOFLOXACIN,0.2092300077820282,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,4,item_drug_GABAPENTIN,GABAPENTIN,0.1456640576315598,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,5,item_drug_ALPRAZOLAM,ALPRAZOLAM,0.1295548680789113,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,6,item_drug_FUROSEMIDE,FUROSEMIDE,0.1152159212045888,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,7,item_drug_PREDNISONE,PREDNISONE,0.1149985026053313,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,8,item_drug_SIMVASTATIN,SIMVASTATIN,0.0576840694301267,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,9,item_drug_LORAZEPAM,LORAZEPAM,0.0467455962088923,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,10,item_drug_IBUPROFEN,IBUPROFEN,0.0403084051909705,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,11,item_drug_METRONIDAZOLE,METRONIDAZOLE,0.0399129488571607,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,12,item_drug_AMOXICILLIN,AMOXICILLIN,0.039437606499234,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,13,item_drug_MELOXICAM,MELOXICAM,0.0229784095416196,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,14,item_drug_ALLOPURINOL,ALLOPURINOL,0.0210520503320137,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,15,item_drug_CEPHALEXIN,CEPHALEXIN,0.0158418724939802,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,16,item_drug_HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,0.0134934340370799,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,17,item_drug_OMEPRAZOLE,OMEPRAZOLE,0.0134331774560239,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,18,item_drug_LATANOPROST,LATANOPROST,0.0112290876601472,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,19,item_drug_AZITHROMYCIN,AZITHROMYCIN,0.0112050108730161,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,20,item_drug_SHINGRIX,SHINGRIX,0.0080136596084767,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,21,item_drug_CLOPIDOGREL,CLOPIDOGREL,0.0077854785147482,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,22,item_drug_OFLOXACIN,OFLOXACIN,0.0017422174199157,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,23,item_drug_CRESTOR,CRESTOR,0.0016501093432717,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,24,item_drug_ATENOLOL,ATENOLOL,0.0008534541696594,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,25,item_drug_NAPROXEN,NAPROXEN,0.0004144450712703,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,26,item_drug_SYNTHROID,SYNTHROID,0.0003635399246517,SHAP_FFA_CONSENSUS_FILTER
