cohort,age_band,bin,rank,feature,drug_name,gene,combined_importance,edge_weight,source
falls,75-84,all,3,item_drug_FUROSEMIDE,FUROSEMIDE,ADD1,0.0791326075838837,0.0791326075838837,SHAP_FFA_CONSENSUS_FILTER
falls,75-84,all,5,item_drug_SIMVASTATIN,SIMVASTATIN,SLCO1B1,0.0473723713856008,0.05,SHAP_FFA_CONSENSUS_FILTER
falls,75-84,all,5,item_drug_SIMVASTATIN,SIMVASTATIN,ABCB1,0.0473723713856008,0.05,SHAP_FFA_CONSENSUS_FILTER
falls,75-84,all,5,item_drug_SIMVASTATIN,SIMVASTATIN,CYP3A4,0.0473723713856008,0.05,SHAP_FFA_CONSENSUS_FILTER
falls,75-84,all,5,item_drug_SIMVASTATIN,SIMVASTATIN,CYP3A5,0.0473723713856008,0.05,SHAP_FFA_CONSENSUS_FILTER
falls,75-84,all,5,item_drug_SIMVASTATIN,SIMVASTATIN,CETP,0.0473723713856008,0.05,SHAP_FFA_CONSENSUS_FILTER
falls,75-84,all,5,item_drug_SIMVASTATIN,SIMVASTATIN,HMGCR,0.0473723713856008,0.05,SHAP_FFA_CONSENSUS_FILTER
falls,75-84,all,5,item_drug_SIMVASTATIN,SIMVASTATIN,LPA,0.0473723713856008,0.05,SHAP_FFA_CONSENSUS_FILTER
falls,75-84,all,6,item_drug_HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,NEDD4L,0.0416143285241111,0.05,SHAP_FFA_CONSENSUS_FILTER
falls,75-84,all,6,item_drug_HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,PRKCA,0.0416143285241111,0.05,SHAP_FFA_CONSENSUS_FILTER
falls,75-84,all,6,item_drug_HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,YEATS4,0.0416143285241111,0.05,SHAP_FFA_CONSENSUS_FILTER
